jdz3rog2,Mario Fireballs
vdoo63vd,Championship Monster Energy Series
zd3l6ovd,1 Player
q254r0yd,Champion Cup
02qvjxzd,1 Loop (Game B)
9d8q63dn,Any%
w20w0y5d,Championship Camping World Series
7dg66w4k,Time Attack
w20wqwzd,Knight League
9kv7qx0k,Background%
w20pg88k,Track Time
ndx9m0od,Rescue all POWs
xk98yv20,No Levels Early
824zymk5,Firebrand%
rklxmg8k,Full Race
7kjg4wzk,Any%
q25gz8do,Lightning Cup
n2ygy412,Any% No FC/CW/TS
xk9nv0x2,IM Fixed Seed
rklr3o6k,Meme Runs
jdz5orgd,PS
xd1rp34k,USA%
xd1v6zd8,Time Trial 1 lap
rkljyzqd,Race (PC)
02q48l9d,Beach Volleyball
q2531mvk,Forest temple
xk9ponvd,Arcade
7kjz4q3d,Race Mode
l9kv002g,All Levels
9d893l2n,Any%
jdr16mg2,Best Lap Challenge
5dw6z1n2,Course (PRB)
9d8xqq62,No Sequence Breaks
rklg9ndn,Any% No Major Glitches
mkelmxxd,Course (SC)
jdr1ww52,"Any% Toad Only, All-Stars"
zd3l8ydn,Any%
jdr7p1g2,Ending 2
7dg6l7xk,NG+
wdmw952q,Any% No Up+A
wkpo9g2r,100% No Up+A
9kvynokg,Any%
z277w742,Pro Supercross
rklr3xqk,Regular Game+
w20zvljd,Challenge Round
zd3ypy82,108 Best Badges
zd39ordn,Any% [PS1]
9d84q96k,Survival
zd3oe5yd,Flap (PRB)
wk6n38r2,Dwingvatt
rkl93z8k,Glitchless (US)
9d8pqzqk,Phil's Training (Advanced)
q254vzvd,100%
7kj153k3,101%
9kv9mv02,All Target Tests
n2y97edo,Festival Mode
xk98yny2,Golf: All Courses
rkljye8d,4%
z27m0o42,Konquest
zd3xzjyd,Solo Petless +Consumables
z27lgrgd,NG+ 100%
824j4lw2,Flower Cup
7kjr9nx2,Any% No W5
9d8g81lk,100%
5dw49qlk,Any%
w2081jdn,Any% Easy
xk9pgvd0,NG+
7dg9plpk,Fastest Time
5dwg39nk,Tournament Challenge
wkp9oj2r,Any%
zdnn51nd,Puzzle Kombat
mke5976k,Campaign 1
zd38l7vk,FF%
9kvpwr3k,Any%
mke9qexd,Fight Mini Bosses
7dg891p2,Any% Hard
7kj187xk,Best Lap
rkl39z8k,Ladder Match
9kv7n6jk,Dark Realm
jdrxj00d,Mercury
7dgxrgk4,NG+
zdnwx19d,Any% Normal
zd3vwor2,Any%
xd17z4d8,Warps
02q3n9zk,Any% (JP)
xd1gmzd8,All Gold Bolts
02q4lxzd,Individual Zombie Quests
7kjqoezd,All Modes
5dw4xvlk,Hard
8240zlwd,Solo Petless
wdm5yo2q,Any% Standard Ship
5dwr8l2g,Any% (Western Rules) Archive
jdrenl5k,Snow temple
n2yqo3ek,PSP
wkpyz0jk,SNES / Wii VC
xd11o4rd,Genesis
xd1m17d8,100%
zd3o6ndn,Original Cases (NG+)
xk9nr7g2,Rocket Board
xd175p4d,A Class
wk616zxd,Mini-Games
xd1738d8,Time
z27mv9g2,Stop 'n' Swop
zd3l0vrd,Elite League
5dwpx75k,Console
vdo5zjok,Story Mode All Worlds
p7kjox23,Sonic: Beat The Game
z2773z20,Bumble-Buster (Level 1)
9kv9x0o2,Max Stats
82460qgd,Ultimate Obstacle Course
824180w2,Sand temple
9d8jrv6k,Monster Energy Series
jdrp8w52,PC (TWN/CHN)
z27m0r52,Arcade (Standard)
jdz8wrvd,Dessert Course
mke90wxd,NG+ Octavioless
mke94xd6,Any% Glitchless
jdzenrvd,Any%
wdm47odq,Any% (PAL)
02q34mjk,Tails
zdnw60qd,96 Exit Goals
ndxjzxj2,All Courses
vdo59vkp,Gold Medal Standard Ship
wkpmjrjk,Hunter% (Legendary)
jdr7yyg2,All Exits
xd1p4wd8,All Cases (NG+)
z27750g2,Any% No S+Q All-Stars
02q34gzk,Clear Time
jdzzy3dv,All hard tracks
q253o78k,Heroic
xd1go7d8,Retro Cups
rkl3x0wk,Decathlon
9kvp410k,Katana Only
jdrx75d6,Glitchless
7dggr7ld,Any%
mkezj9k6,100% Popkaless
wdmy14dq,1 Loop
mkeo9r9d,GBA
zdnrwgn2,Any%
wdmqp542,Any% Glitchless
02qlzv7k,DOS
wdmx7ook,Normal
xd1r8e4k,Second Quest 100%
7wkp1gkr,120%
z27qx5k0,Any%
7dgyngd4,No Levels Early
7kj88gxd,All Wiki Upgrades
02q4qwyd,Harp
wk600xek,Air Revenge (PC)
mke9y4xd,Aspharr
wdmq7q32,All Class Trials (NG+)
z27w7ok0,Time Attack
5dw985l2,NG All Bosses
wk6orxk1,Any%
n2yqqm1k,Single Levels: Difficulty Normal
wdmxg74k,Complete Level
9kvp463k,Silver Round
xd1m0l4d,All Speed Trax
5dwjgj5k,Any%
9kvpjg3k,Any%
9kvpv10k,Hercules Cup (Proud)
824gw1n2,Reverse All Cards
02ql6pky,Any%
zd38xo8k,Any% [PC/DC/N64]
q25xl7jk,Chess Kombat
wkpv0v0k,London Party
jdz5l5rd,Pro National
02q3yezk,All Normal Levels
02qj7eyd,GCN
zd38v6yk,Portal%
w20vj3jk,Low%
7kj39642,Myifee
w20gl68k,Normal
ndx1qzr2,Story Mode
w20peokn,NG (Easy)
z271ql42,Glitchless
mkexnnd6,Any% (No WW)
9kvzl0dg,Gym Leader Castle Round 2
z277yr42,"100 Lines, Level 0 Start"
wdmolekq,Story Mode
z27r354d,Any%
xd117r7d,Any Slingshot
wdm6w4kq,Best Lap
824x79ed,Any% Normal OldDark
jdr937nd,Dog%
wkp5ggwd,Chip 'N Dale
9d846wwk,Shutterbug
5dw6l3e2,No OoB
xd14pwrd,Course (Non-PRB)
rklq882n,Golden Rod
zd374e82,Longest Path
mke069d6,Swordless
xk9nr9y2,Survival
rklq1l62,Any%
ndx8lw1k,Medium
824jjon2,Arcade (NHPT)
zdnn80qd,Variety%
q25m1p8d,100%
824mzl32,Lover Not a Fighter
7dggn7pd,Any%
5dwp9lkg,Best Ending (97%)
xd17o9wd,Special Cars
9d8n06dn,New Game +
9d8ee36d,100%
z276jggd,All Courses (Main Game)
9kvxzqe2,Act 1
z27m9lz2,Any% NG+
z27g8mo2,Balloon Attack
wkp597vd,SMB1 Challenge
02q9wjky,Any% (J)
9kvpn48k,100%
7dgmj44d,All Stadium Events
wdm8r442,New Game+
xk9lj6k0,Port Royal SB Time Attack
q253wn8k,All Dungeons
wdm8x3e2,Any%
5dwl8l2g,100%
5dwpynkg,Cargo Climb
rklpn8dn,SNES
7dgglrpd,PSP Any%
7kj15n4k,All Unique Stunt Jumps (PSP)
